mode,origin,destination,month,operator,service_number,sample_size,delayed_15,delayed_30,delayed_60,avg_delay_minutes
FLIGHT,BOM,DEL,9,IndiGo,6E-201,148,52,36,18,19.4
FLIGHT,BOM,DEL,9,Air India,AI-805,120,48,34,15,22.1
FLIGHT,BOM,DEL,9,IndiGo,,210,70,48,22,18.7
FLIGHT,BOM,DEL,,IndiGo,,540,162,110,45,17.5
FLIGHT,BOM,DEL,,,,890,285,195,82,19.0
FLIGHT,DEL,BOM,12,Air India,AI-101,180,95,72,40,38.5
FLIGHT,DEL,BOM,12,IndiGo,6E-502,165,80,58,28,31.2
FLIGHT,DEL,BOM,12,,,420,210,155,78,34.0
FLIGHT,DEL,BOM,,,,950,380,260,110,24.5
TRAIN,BOM,PUN,9,Central Railway,DEC-809,95,35,22,10,16.8
TRAIN,BOM,PUN,9,,,180,62,40,16,15.2
TRAIN,BOM,PUN,,,,320,105,68,25,14.8
TRAIN,DEL,AGR,12,Northern Railway,NDLS-SHATABDI,110,55,42,24,28.6
TRAIN,DEL,AGR,12,,,230,112,85,45,26.4
FLIGHT,BLR,DEL,9,Akasa Air,QP-1302,88,24,14,5,11.2
FLIGHT,BLR,DEL,,,,450,115,72,25,13.5
